,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,EN32,EN33,EN34,EN35,EN36,EN37,EN38,EN39,EN40,EN41,EN42,EN43,EN44,EN45,EN46,EN47,EN48,EN49,EN50,EN51,EN52,EN53,EN54,EN55,EN56,EN57,EN58,EN59,EN60,EN61
F1,[],[],"[[14, -1, 1.0]]","[[5, 1, 1.0]]","[[4, -1, 1.0]]",[],"[[3, -1, -1.0]]",[],[],[],"[[8, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[3, 1, 1.0]]",[],[],[],"[[3, -1, 1.0], [4, -1, 1.0], [7, 1, -1.0], [8, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[3, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[8, -1, 1.0], [14, -1, -1.0]]",[],[],[],[],[],[],"[[1, 1, 1.0], [5, -1, 1.0]]",[],[],"[[4, -1, 1.0], [7, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
F2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[10, -1, 1.0]]",[],[],[],[],[],[],"[[3, 1, 1.0]]",[],[],[],[],[],[],"[[3, 1, -1.0]]",[],[],[],[],[],[],"[[6, -1, 1.0]]",[],[],[],[],"[[2, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],"[[11, 1, 1.0]]",[],[],[],[],[],"[[3, -1, 1.0], [6, 1, -1.0]]",[],"[[13, 1, 1.0]]",[],[],"[[13, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[7, 1, 1.0], [8, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[1, -1, -1.0], [2, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
F3,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]",[],"[[9, 1, 1.0]]","[[8, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[6, 1, 1.0]]",[],[],[],[],"[[6, -1, 1.0]]",[],[],[],"[[13, -1, -1.0]]",[],[],[],[],[],"[[14, 1, 1.0]]","[[14, 1, 1.0]]",[],"[[8, 1, 1.0]]",[],"[[4, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[4, 1, 1.0], [13, 1, -1.0]]",[],[],[],[],[],[],"[[3, 1, 1.0], [4, -1, 1.0], [13, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[],"[[1, 1, -1.0], [4, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
F4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[10, 1, 1.0]]",[],"[[8, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[11, -1, 1.0]]","[[5, 1, 1.0], [7, 1, 1.0]]",[],[],[],[],"[[8, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]",[],[],"[[13, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[6, -1, 1.0], [7, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
F5,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[10, 1, 1.0]]","[[10, 1, 1.0]]",[],"[[8, 1, 1.0], [13, 1, 1.0]]","[[4, -1, 1.0]]",[],[],[],"[[8, 1, -1.0]]","[[7, 1, -1.0]]",[],[],[],[],[],[],[],[],"[[7, -1, -1.0]]",[],[],[],"[[13, 1, 1.0]]",[],[],[],"[[14, 1, -1.0]]","[[6, -1, -1.0], [10, -1, -1.0]]","[[12, -1, 1.0]]","[[7, 1, 1.0]]",[],[],"[[7, -1, 1.0]]",[],[],[],[],[],[],"[[7, -1, 1.0], [11, -1, 1.0]]",[],[],[],"[[3, -1, -1.0], [4, 1, 1.0], [13, 1, 1.0], [14, 1, 1.0]]","[[13, 1, -1.0]]","[[3, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[8, -1, 1.0], [10, 1, 1.0]]",[],[],[],[],[],[],"[[13, 1, -1.0], [14, -1, -1.0]]","[[13, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],"[[7, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],"[[5, 1, 1.0], [9, 1, -1.0]]",[],[],[],[],[],[],[],[],"[[3, 1, -1.0], [4, -1, -1.0]]",[],[],[],[],[],[],[],[],[]
F6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[14, -1, 1.0]]","[[14, -1, -1.0]]","[[10, 1, 1.0], [11, -1, -1.0]]",[],[],"[[4, -1, 1.0]]",[],[],[],[],[],"[[7, -1, 1.0]]",[],[],[],[],[],[],"[[10, 1, 1.0]]","[[10, -1, -1.0]]","[[9, -1, -1.0]]",[],[],"[[2, -1, -1.0], [13, 1, 1.0]]",[],[],[],[],[],[],"[[7, 1, 1.0], [8, 1, 1.0]]","[[8, 1, -1.0]]",[],[],[],"[[6, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[12, 1, 1.0], [13, 1, -1.0]]",[],"[[4, -1, 1.0], [7, 1, 1.0]]",[],[],[],"[[13, 1, 1.0], [14, -1, 1.0]]",[],[],"[[13, 1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],"[[7, 1, -1.0], [14, -1, -1.0]]",[],"[[6, 1, -1.0], [7, 1, 1.0], [9, -1, -1.0], [14, -1, 1.0]]",[],[],[],[],[],[],"[[9, 1, 1.0], [14, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
F7,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[14, -1, 1.0]]","[[11, 1, 1.0]]","[[8, 1, 1.0]]","[[4, -1, 1.0]]",[],[],[],[],[],[],[],"[[14, -1, 1.0]]","[[4, -1, 1.0]]",[],"[[9, -1, 1.0]]",[],[],[],"[[9, -1, 1.0]]",[],"[[14, -1, 1.0]]","[[8, 1, -1.0]]",[],"[[7, 1, 1.0]]",[],[],[],[],[],[],[],[],"[[6, -1, -1.0], [11, 1, 1.0]]",[],"[[10, -1, 1.0], [14, 1, -1.0]]",[],[],[],[],"[[4, -1, -1.0]]","[[5, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[5, 1, 1.0], [13, 1, -1.0]]",[],[],[],[],[],[],"[[13, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],"[[6, -1, 1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[5, 1, 1.0], [6, -1, 1.0]]",[],[],[],[],[],[],[],[]
F8,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[10, -1, 1.0]]","[[7, -1, 1.0], [10, -1, 1.0]]","[[4, -1, 1.0], [9, -1, 1.0]]","[[9, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[12, -1, 1.0]]","[[8, 1, 1.0]]","[[4, -1, 1.0]]","[[4, -1, 1.0], [5, -1, 1.0]]",[],"[[12, -1, 1.0], [14, -1, 1.0]]",[],"[[3, 1, 1.0], [8, -1, -1.0]]",[],[],[],[],[],"[[14, -1, -1.0]]","[[13, 1, -1.0]]",[],"[[10, -1, -1.0]]","[[10, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[6, -1, 1.0], [8, 1, 1.0]]",[],[],[],[],[],"[[12, -1, -1.0], [13, 1, -1.0]]",[],"[[3, -1, 1.0], [6, 1, -1.0], [10, -1, -1.0], [13, 1, 1.0]]",[],"[[3, 1, 1.0], [4, -1, 1.0], [9, 1, 1.0], [10, -1, 1.0]]",[],[],[],[],[]
F9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[14, -1, 1.0]]","[[14, 1, 1.0]]","[[13, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[7, -1, -1.0], [11, 1, 1.0]]","[[5, -1, 1.0]]","[[14, -1, 1.0]]","[[7, -1, 1.0], [13, 1, -1.0]]",[],[],"[[6, 1, -1.0], [7, 1, -1.0]]","[[6, -1, -1.0], [8, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[8, -1, -1.0], [13, 1, -1.0]]",[],[],"[[12, -1, 1.0], [13, 1, 1.0]]",[],[],[],[],"[[2, -1, -1.0], [3, -1, 1.0], [6, -1, -1.0], [7, -1, 1.0], [8, -1, -1.0], [9, -1, 1.0], [13, 1, 1.0], [14, -1, 1.0]]"
F10,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[12, -1, 1.0]]","[[7, -1, 1.0]]",[],"[[12, -1, -1.0], [14, -1, -1.0]]","[[14, -1, -1.0]]",[],[],[],[],[],[],[],"[[9, -1, -1.0]]","[[13, 1, -1.0]]","[[11, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[9, -1, 1.0], [12, -1, -1.0]]",[],[],[],[],[],[],[],[]
FN1,[],[],[],[],[],"[[10, -1, 1.0]]","[[13, 1, 1.0]]",[],[],[],"[[5, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[3, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[14, -1, 1.0]]","[[4, -1, 1.0]]","[[13, 1, 1.0], [14, -1, 1.0]]",[],[],[],[],"[[6, -1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[3, -1, 1.0]]","[[14, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FN2,[],[],[],[],[],[],[],"[[13, 1, 1.0], [14, 1, 1.0]]",[],[],"[[2, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[5, -1, 1.0], [6, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[3, 1, 1.0]]","[[3, -1, -1.0]]",[],[],[],[],"[[2, 1, 1.0], [9, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[13, 1, 1.0]]","[[3, 1, 1.0]]","[[3, -1, -1.0]]",[],[],[],"[[8, 1, -1.0]]","[[1, -1, 1.0], [8, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[1, -1, 1.0], [5, -1, -1.0], [8, 1, 1.0], [12, 1, 1.0]]","[[1, -1, 1.0], [2, 1, 1.0], [5, -1, 1.0], [7, -1, -1.0], [10, 1, 1.0], [14, -1, -1.0]]","[[4, -1, -1.0]]",[],[],[],"[[7, 1, -1.0], [9, -1, -1.0], [10, 1, -1.0], [11, 1, -1.0]]","[[2, 1, -1.0], [3, -1, -1.0], [6, 1, 1.0], [11, -1, -1.0]]","[[3, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FN3,[],[],[],[],[],[],[],[],"[[13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[12, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, -1.0]]","[[13, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[6, 1, 1.0], [8, 1, 1.0], [9, -1, -1.0]]",[],[],[],[],[],[],[],[],"[[7, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FN4,[],[],[],[],[],[],[],[],"[[14, 1, 1.0]]","[[13, 1, 1.0]]","[[7, 1, 1.0]]","[[14, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[8, -1, 1.0]]","[[8, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[10, 1, -1.0]]",[],[],"[[6, 1, 1.0], [10, 1, -1.0]]",[],[],[],[],[],"[[7, 1, 1.0], [9, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],"[[6, 1, -1.0], [7, -1, -1.0], [9, -1, 1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FN5,[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]",[],"[[4, 1, 1.0]]",[],[],[],"[[3, 1, 1.0]]",[],[],[],"[[3, -1, 1.0]]","[[4, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[2, -1, 1.0]]",[],[],"[[1, -1, 1.0]]",[],[],[],"[[13, 1, 1.0]]",[],[],[],[],"[[5, 1, 1.0]]",[],[],[],"[[2, -1, -1.0], [3, -1, 1.0]]",[],[],"[[6, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[9, 1, -1.0]]",[],[],"[[13, 1, 1.0], [14, -1, 1.0]]",[],[],"[[4, -1, 1.0], [5, 1, 1.0]]",[],[],[],[],[],[],[],[],"[[1, -1, -1.0], [5, -1, 1.0]]",[],[],[],"[[5, -1, 1.0], [10, 1, -1.0]]",[],[],[],"[[3, 1, 1.0]]",[],[],[],[],[],[],"[[1, 1, -1.0]]",[],[],[],[],[],[],[],[]
FN6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[10, 1, 1.0]]",[],[],"[[9, 1, 1.0]]","[[8, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],"[[6, -1, 1.0]]",[],[],[],"[[9, 1, -1.0]]",[],[],"[[5, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[4, 1, 1.0]]",[],[],[],[],[],"[[6, -1, 1.0], [7, 1, 1.0]]","[[3, 1, 1.0], [4, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],"[[4, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FN7,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 1, 1.0]]","[[10, 1, 1.0]]",[],[],[],[],"[[7, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[12, -1, 1.0], [14, 1, -1.0]]",[],[],"[[6, -1, -1.0], [9, 1, -1.0]]",[],"[[7, 1, 1.0]]",[],"[[3, 1, 1.0], [8, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[7, 1, -1.0]]","[[5, -1, -1.0], [6, -1, -1.0], [9, 1, 1.0], [10, -1, 1.0]]","[[3, 1, 1.0], [6, 1, -1.0], [8, -1, -1.0], [14, 1, 1.0]]",[],[],[],[],"[[3, -1, 1.0]]",[],[],[],[],[],[],[],[]
